name,category,calories,protein,carbs,fats
San Antonio Barbecue Chicken,dinner,210.7,34.0,1.0,21.0
Lemon Bars,snack,193.9,4.0,9.0,13.0
Beef Tenderloin Pie,dinner,640.7,50.0,13.0,63.0
Chewy Mint Chocolate Chip Cookies,snack,103.1,2.0,4.0,8.0
Best Rhubarb Muffins Ever,snack,295.8,8.0,18.0,10.0
Julienned Carrots  N  Onion,lunch,117.1,1.0,3.0,12.0
Chicken  Sweet Potato And Cauliflower Vindaloo,dessert,499.2,69.0,19.0,22.0
Crackling Rice Paper Wrapped Fish,dinner,166.5,41.0,0.0,12.0
Broiled Sage Chicken,dinner,143.7,55.0,0.0,3.0
Acorn Squash With Bacon,dinner,369.6,7.0,8.0,46.0
Yellow Tomato Pasta Sauce,dessert,162.5,5.0,2.0,21.0
Mom S Cabbage Soup,dinner,40.1,2.0,2.0,1.0
Microwave Chocolate Pudding,lunch,124.6,6.0,6.0,5.0
Gingerbread Latte Vegan,lunch,70.0,0.0,5.0,0.0
Chunky Tomato Salsa,dinner,183.4,8.0,13.0,1.0
Crock Pot Lemon Tarragon Chicken,dinner,305.2,62.0,2.0,24.0
Garlic Prawn Risotto,dinner,446.8,46.0,21.0,14.0
Autumn Apple Cheesecake,breakfast,408.6,10.0,12.0,42.0
Martha Stewart S Cabbage And Pork Chop Quick Cook,dinner,682.8,108.0,10.0,57.0
Brown Sugar Glazed Pork Loin Chops,lunch,386.2,54.0,3.0,36.0
Better Than Takeout Chicken Fried Rice From Rachel Schultz,lunch,759.7,56.0,41.0,23.0
Layered Spinach Salad  2,breakfast,490.2,52.0,3.0,58.0
Coffee Mug Chocolate Cake,lunch,795.5,26.0,27.0,75.0
Turkish Zucchini Pancakes,breakfast,70.3,6.0,1.0,6.0
Gingered Sugar Snap Peas,lunch,72.7,3.0,2.0,7.0
Easy Tasty Hearty Lentil Black Bean Stew,dinner,264.2,28.0,15.0,4.0
Meatloaf Haters Meatloaf,breakfast,251.4,35.0,5.0,20.0
Secret Recipe Cold Corn Salad,lunch,153.7,6.0,6.0,12.0
Pineapple And Coconut Bread Loaf,breakfast,449.1,10.0,23.0,26.0
Caramelized Onion Soup Au Gratin  Low Carb  But You Won T Notice,dinner,656.9,40.0,4.0,82.0
Raspberry Coffee  Diabetic,breakfast,20.7,0.0,1.0,0.0
Blushing Cranberry Cider,dinner,422.5,2.0,35.0,1.0
Fruit Freeze,lunch,463.0,7.0,20.0,37.0
Panko Crusted Fish Served Over Kale,breakfast,285.5,13.0,10.0,25.0
Spinach And Fennel Salad,lunch,368.5,15.0,6.0,49.0
Pudding Rolls,breakfast,369.2,15.0,21.0,14.0
Cheater S New York Style Cheesecake,dessert,533.0,17.0,11.0,62.0
Salmon Cheddar Bake,breakfast,429.4,65.0,6.0,36.0
Banana Chocolate Fudge Layer Cake  Light,dessert,305.4,14.0,14.0,17.0
Garden Pasta Salad,dinner,255.6,13.0,11.0,16.0
Lime Cumin Marinade,lunch,412.3,41.0,27.0,7.0
Cranberry Apricot Pie,dessert,465.1,8.0,28.0,21.0
Homemade Vanilla Syrup For Soft Drinks,lunch,60.7,0.0,5.0,0.0
Mvp Chili,lunch,289.8,31.0,17.0,3.0
Brides Bars,breakfast,343.6,9.0,18.0,18.0
Chicken And Pepper Pasta,lunch,753.0,65.0,22.0,59.0
Goat Cheese Biscuits,breakfast,170.6,10.0,6.0,11.0
Strawberry Avocado Salad,lunch,221.0,11.0,7.0,24.0
Crock Pot Turkey Breast With Stuffing And Dried Fruit,dinner,495.8,91.0,13.0,23.0
Easy Montreal Seasoned New York Steak Strips,lunch,258.6,46.0,0.0,27.0
Hot Onion Squares,dinner,402.6,15.0,13.0,36.0
Cherry Cobbler  Frozen Cherries,breakfast,656.2,18.0,43.0,19.0
Spicy Chicken In Cabbage Leaves,lunch,381.5,63.0,2.0,39.0
Sourdough Pizza Crust,dinner,398.1,19.0,22.0,15.0
Nif S Pineapple Squares,breakfast,170.1,4.0,8.0,11.0
Praline Brownies,snack,325.5,5.0,13.0,27.0
Roasted Tomato Sauce,dinner,123.3,3.0,3.0,14.0
New Seven Layer Salad,lunch,74.6,4.0,2.0,6.0
Wine Baked Chicken Breasts,dinner,336.6,34.0,3.0,31.0
Yogurtlu Meyve Suyu  Turkish Fruit Smoothie,lunch,323.0,15.0,25.0,2.0
Spinach And Ricotta Baked Pasta,dinner,1092.0,115.0,32.0,83.0
Macaroni And Cheese Casserole,breakfast,338.2,33.0,17.0,12.0
Mango Orange Mousse Cake,dessert,482.9,13.0,17.0,44.0
Country Sausage Casserole,breakfast,194.9,17.0,6.0,13.0
The Three C S Rice Casserole,breakfast,711.1,45.0,29.0,44.0
Strawberry Orange Salad With Cardamom Syrup,lunch,142.6,3.0,11.0,0.0
Blueberry Pancake Syrup   Low Carb,breakfast,15.9,0.0,1.0,0.0
Rioja Beef With Chickpeas  Peppers And Saffron,dinner,508.2,88.0,13.0,27.0
Pesto Zucchini Quesadillas,snack,157.7,8.0,7.0,10.0
Blue Cheese Baguette Spread,breakfast,108.8,6.0,0.0,16.0
Tex Mex Tortellini,snack,203.9,15.0,8.0,11.0
Potato  Spinach And Artichoke Soup Ala Rachael Ray,lunch,475.3,44.0,18.0,31.0
Martha Stewart S Marble Cake With White Chocolate Glaze,dessert,392.6,12.0,20.0,23.0
Apple Or Pear Ginger Jam,dinner,101.9,1.0,9.0,0.0
Banana Split Refrigerator Cake,dessert,58.2,2.0,3.0,1.0
Chinese Style Tofu  Sauce,dinner,249.2,27.0,6.0,24.0
Caramelized Onion Toasts,snack,379.0,15.0,15.0,28.0
Lemon Cooler Cookies,snack,50.3,0.0,2.0,2.0
Brandied Peaches   Yams,dessert,227.6,3.0,15.0,6.0
Moe S Southwest Grill Pico De Gallo Copycat Recipe,snack,22.0,1.0,1.0,0.0
Fried Bread Cookies,breakfast,107.4,7.0,2.0,12.0
Almond And Lemon Biscotti,snack,716.9,37.0,40.0,28.0
Cucumbers With Onion And Cheese,lunch,37.1,7.0,1.0,0.0
Moist And Tender Turkey  Or Turkey Breast,dinner,341.4,78.0,0.0,29.0
Arabic Coffee  The Saudi Way,dinner,7.1,0.0,0.0,0.0
Deep Dish Rocky Road Dessert Pizza,dessert,587.2,13.0,23.0,49.0
Navy Bean Soup In The Crock Pot,dinner,192.3,26.0,11.0,1.0
Princess Chicken,dinner,1629.6,84.0,58.0,128.0
Penne With Grilled Salmon Asparagus And Lemon Butter,lunch,579.0,57.0,16.0,47.0
Pasta Salad A La Alexis,breakfast,494.9,44.0,33.0,6.0
Liisa S Chicken Sauce  Aka Vinegar Chicken,lunch,1632.6,8.0,15.0,226.0
Crock Pot Chicken Noodle Soup With Sweet Potatoes,dessert,465.4,76.0,13.0,24.0
Marra S Pasta And Cheese Comfort,breakfast,612.2,52.0,30.0,23.0
Heath Bar Fruit Dip,snack,290.9,10.0,1.0,44.0
Raw Cashew Cheesecake From Vegetarian Times Magazine,dessert,410.4,11.0,10.0,49.0
Pasta Jambalaya,dinner,762.9,85.0,24.0,50.0
Skillet Chicken   Cheese Enchiladas,lunch,484.8,75.0,12.0,30.0
Caramelized Milk  Cajeta Or Dulce De Leche,breakfast,1716.7,84.0,96.0,71.0
The  Expert  Blt  Bacon  Lettuce And Tomato Sandwich,lunch,374.3,15.0,12.0,34.0
Vanilla Sugared Almonds,snack,254.8,15.0,4.0,31.0
Tuscan Garbanzo Bean Soup,dinner,343.1,31.0,16.0,13.0
Pumpkin Muffins With Struessel Topping,breakfast,251.2,5.0,11.0,19.0
Mom S Oven Rice,dinner,263.4,13.0,15.0,9.0
Sour Cream Mustard Sauce Dip,snack,53.6,2.0,0.0,6.0
Avocado Mayonnaise  No Dairy,snack,57.5,1.0,1.0,7.0
Karyn S Quinoa Chicken Crock Pot,dinner,199.8,36.0,4.0,11.0
Veal Liver With Onions   Bacon,dinner,281.4,10.0,8.0,26.0
Designated Driver  Margaritas,lunch,171.5,0.0,14.0,0.0
Chet Glay Hin  Burmese Chicken Curry,dinner,785.0,97.0,5.0,88.0
Spaghetti With Shrimp And Mushrooms,dinner,523.5,65.0,17.0,31.0
Zucchini Pea And Rice Balls  Baby Finger Food,dinner,29.1,1.0,1.0,1.0
Baked Beans Supreme  Aka Gene Brown Beans,dinner,358.6,50.0,19.0,4.0
Quick Minestrone Soup,dinner,492.2,35.0,32.0,4.0
Crock Pot Snapper Vera Cruz,dinner,244.0,64.0,5.0,9.0
Sweet Sour Kraut And Chops,dinner,562.3,89.0,14.0,35.0
Stewed Potatoes,lunch,470.8,18.0,18.0,37.0
Orange Honey Vinaigrette,lunch,53.2,0.0,1.0,5.0
Thai Banana And Green Chilli Salad,lunch,236.1,13.0,11.0,16.0
Oranges In Orange Syrup,breakfast,170.0,2.0,14.0,0.0
Hawaiian Macaroni  And Potato  Salad,breakfast,278.2,16.0,13.0,14.0
Grilled Bbq Potato Skins,snack,305.5,33.0,8.0,22.0
Farmer S Meatloaf,dinner,553.4,100.0,8.0,40.0
Tender Pot Roasted Beef,dinner,441.6,109.0,11.0,15.0
Beef Jerky  Cowboy Style Beef Jerky,snack,29.8,5.0,1.0,0.0
French Onion Soup Ii,snack,1169.0,100.0,47.0,68.0
Pecan Crunch Cookies,snack,132.5,2.0,3.0,13.0
Crispy Soy Roasted Kale Chips,snack,60.5,4.0,2.0,5.0
Dilled Carrots,lunch,110.7,7.0,4.0,7.0
Ham And Swiss Quesadilla,breakfast,679.7,101.0,10.0,59.0
Chicken With White Wine And Mushroom Reduction,dinner,376.6,52.0,5.0,32.0
Ahi Tuna Marinade,dinner,288.3,66.0,6.0,13.0
Basic Baked Fish  Easy Dressing,lunch,816.9,259.0,1.0,43.0
New England Naked Cape Codders,breakfast,204.2,0.0,8.0,0.0
Dump Swiss Steak  Oamc,dinner,387.2,108.0,6.0,15.0
Tgi Friday S Chocolate Malted Cake,breakfast,727.0,17.0,31.0,59.0
Pb J Zebra Style,lunch,135.4,9.0,8.0,3.0
Whole Grain Cinnamon Raisin Bread,dinner,120.0,6.0,8.0,3.0
Chocolate Pecan Brownies,snack,234.1,5.0,9.0,19.0
Caramel Eggnog,breakfast,242.4,24.0,7.0,17.0
Pan Cooked Pumpkin,dinner,447.8,19.0,7.0,56.0
Honey Glazed Pretzel Crisp Mix,snack,322.8,5.0,10.0,34.0
Beef  Potatoes   Beans,lunch,1162.8,120.0,22.0,113.0
Lamb Leg Stuffed With Herbed Leek Dressing,dinner,862.4,142.0,3.0,84.0
Blushing Bread,dinner,203.0,10.0,13.0,3.0
Cauliflower And Brussels Sprouts Gratin With Pine Nut Breadcrumb,dinner,492.7,36.0,6.0,61.0
Strawberries Romanoff,dessert,488.1,7.0,23.0,35.0
Baker S Chocolate Caramel Bars,breakfast,492.9,12.0,21.0,40.0
Fiddlesticks Julie S Rye Crispbread Recipe,dinner,69.8,2.0,3.0,4.0
Hamburger Goulash,lunch,635.7,73.0,25.0,32.0
Dad S Bread Pudding,dessert,227.9,14.0,12.0,8.0
Feta Artichoke Dip,snack,94.0,8.0,1.0,10.0
Quick 1 5 Lb White Bread For Bread Machine,dinner,435.9,24.0,24.0,14.0
Chocolate Football Cereal Cookies,breakfast,78.2,0.0,4.0,5.0
Custard Pudding  Microwave,lunch,225.2,10.0,10.0,12.0
Crock Pot Chicken In Wine,dinner,285.5,57.0,4.0,13.0
Chicken And Spinach Enchiladas,breakfast,711.3,90.0,25.0,39.0
Veal Cordon Bleu,dinner,333.1,29.0,4.0,36.0
Shrimp Cucumber Sambal Wrap,dinner,421.2,28.0,25.0,9.0
Spiced Peach Bread,dessert,193.9,7.0,13.0,4.0
Cornbread With Jalapeno Peppers,dinner,262.5,13.0,10.0,19.0
Spicy Red Pepper Sauce,lunch,67.7,5.0,5.0,1.0
Apple Cinnamon Streusel Bars,dessert,185.8,2.0,9.0,11.0
Crock Pot Dulce De Leche,breakfast,937.9,31.0,62.0,24.0
Chicken Noodle Casserole,dinner,242.6,24.0,6.0,18.0
Tofu Tacos That Are Actually Good,lunch,297.0,23.0,12.0,19.0
Thai Steak Wrap,dinner,394.3,56.0,14.0,17.0
Roasted Balsamic Vegetables    Mmm,dinner,93.9,1.0,2.0,10.0
Honey Lime Fruit Toss,breakfast,110.7,2.0,9.0,0.0
Winter Fruit Chutney,breakfast,513.6,9.0,43.0,1.0
General Tso S Chicken  Unbreaded,dessert,435.9,59.0,19.0,5.0
Apple Curry Tuna Melt,snack,358.3,42.0,6.0,34.0
Strawberry Cheesecake Tarts,breakfast,1362.1,24.0,57.0,109.0
Mild Curry Ground Beef And Cabbage,lunch,666.5,84.0,26.0,33.0
Cinnamon Streusel Bundt Cake,dessert,391.1,8.0,17.0,29.0
Potato Toast,breakfast,181.2,14.0,10.0,5.0
Frugal Gourmet S Beef In Burgundy,dinner,473.2,82.0,4.0,34.0
Creamy Frosted Coffee  Non Alcoholic,breakfast,235.0,2.0,3.0,33.0
White Jello,lunch,473.3,18.0,17.0,39.0
Holiday Cheese Spread,breakfast,98.0,7.0,0.0,12.0
Chocolate Chip Crunch Cookies,snack,462.6,9.0,22.0,31.0
Buffalo Chicken Pasta,lunch,619.8,47.0,22.0,45.0
Kristi S Deviled Egg Potato Salad,dinner,218.4,16.0,8.0,15.0
Brisket Of Beef,dinner,44.9,7.0,1.0,1.0
Broccoli Potato Bake,breakfast,210.8,14.0,6.0,18.0
Creamy French Dressing,lunch,1020.1,3.0,4.0,166.0
Oven Roasted Chicken Wings,snack,130.0,18.0,0.0,15.0
Crock Pot Swedish Y Meatballs,dinner,217.4,37.0,3.0,17.0
Banana Upside Cake  Bolo De Banana,breakfast,401.0,7.0,21.0,23.0
Decorative Chocolate Leaves,dessert,36.2,1.0,0.0,5.0
Italian Pasta Pie,dinner,698.2,48.0,38.0,22.0
Sweet Potato Marshmallow Puffs,dessert,223.0,4.0,8.0,20.0
Harvest Moon Yeast Risen Chocolate Chip Pumpkin Bread,breakfast,410.0,18.0,20.0,25.0
The Best Cowboy Caviar,snack,431.6,31.0,20.0,26.0
Cool As A Cucumber Tuna Macaroni Salad,lunch,235.0,18.0,9.0,14.0
Homemade Granola Bars,breakfast,142.6,5.0,7.0,8.0
Veggie Pate,snack,1272.3,85.0,28.0,143.0
Shrimpy Macaroni And Cheese,breakfast,719.1,81.0,26.0,40.0
Cannelloni Brassica   Jamie Oliver,dinner,411.5,41.0,10.0,40.0
Chocolate Mousse   Barefoot Contessa   Ina Garten,dessert,470.1,18.0,10.0,56.0
Montadito De Tortilla De Patatas   Potato Omelette Open Faced Sa,breakfast,285.0,14.0,1.0,41.0
The Most Wonderful Gingerbread Cookies,snack,134.2,3.0,8.0,5.0
Gravy Thickner,lunch,10.2,0.0,0.0,0.0
Creamy Garlic Salad Dressing,lunch,721.3,11.0,11.0,98.0
Ahoy There   Moules Marinires   French Sailor S Mussels,snack,819.4,125.0,9.0,67.0
Lemony Cucumber Drink,lunch,50.1,4.0,5.0,0.0
Kick Butt Spaghetti Sauce  Out Of A Jar,lunch,113.7,3.0,3.0,10.0
Easy Low Fat Mushroom Sauce,lunch,75.5,9.0,1.0,6.0
Low Carb Mexican Beef And Spinach Casserole,breakfast,344.9,37.0,2.0,41.0
4 H Sloppy Joes,dinner,418.0,52.0,11.0,29.0
Simple Cheeseburger Quesadillas,lunch,399.2,51.0,6.0,37.0
Mn Wild Rice Soup,dinner,242.1,25.0,3.0,25.0
Savory Bread Pudding With Spinach And Mushrooms,dinner,242.2,31.0,8.0,13.0
Garlic Roasted Butternut Squash,dinner,222.3,17.0,9.0,14.0
Grilled Turkey Parmesan Sandwich,breakfast,437.9,56.0,10.0,33.0
Hungry Girl Complete   Utter Oatmeal Insanity,breakfast,382.1,12.0,10.0,43.0
Asian Shrimp Basting And Dipping Sauce For A Voracious Appetite,lunch,65.8,8.0,3.0,2.0
Ham And Cheese Breakfast Strudels,breakfast,421.3,32.0,5.0,48.0
Frozen Baby Meal 6 Of 6  Ham   Potatoes,lunch,12.9,3.0,0.0,0.0
Vegetarian Nut Loaf,dinner,282.2,16.0,6.0,32.0
Low Fat Mayonnaise,breakfast,18.7,0.0,0.0,2.0
Easy White Chicken Chili,dinner,736.4,119.0,20.0,43.0
Baked Cheesy Chicken Spaghetti,dinner,914.6,148.0,25.0,51.0
Sesame Cold Noodles,dinner,586.4,39.0,24.0,38.0
Buttery Skor Bars,breakfast,153.3,2.0,4.0,15.0
Stuffed Pizza Loaf,breakfast,130.9,11.0,5.0,6.0
After Thanksgiving Turkey Chili,dinner,380.8,62.0,13.0,16.0
Chickpeas In Onion Sauce,dinner,186.6,12.0,7.0,13.0
Mashed Potatoes Ol,dinner,327.2,19.0,12.0,25.0
Caramel Crispex Mix,dessert,593.7,13.0,29.0,40.0
Seitan Gyro Meat,dinner,66.5,2.0,1.0,8.0
Apple Cranberry Cottage Cheese,breakfast,162.0,26.0,5.0,7.0
Best Molasses Cookies 1961,breakfast,81.2,1.0,4.0,4.0
Baby Pacifiers  Shower Favors,lunch,131.7,0.0,10.0,0.0
A Taste Of Africa   Kenyan Chicken Curry,dinner,534.4,75.0,10.0,45.0
Cheese Ham Buns,breakfast,154.5,11.0,6.0,9.0
Southwestern Skillet Pasta,dinner,581.3,63.0,27.0,22.0
Fruit Milk Shake,breakfast,50.4,9.0,2.0,0.0
Crocked Cheese Soup,breakfast,387.9,37.0,5.0,43.0
Coyote Margarita,lunch,84.7,0.0,7.0,0.0
Peanut Chicken Soba Salad,dinner,169.0,30.0,2.0,13.0
Pan Fried Tilapia From Sandra Lee,lunch,145.3,2.0,2.0,19.0
Market Mix  Roasted Potatoes  Fennel  Mushrooms And Peppers,dinner,227.2,10.0,10.0,14.0
Dolly Parton S Dump Cake,breakfast,429.3,5.0,25.0,19.0
Watermelon And Mint Juice,breakfast,101.8,3.0,8.0,0.0
Shrimp Etouffee,dinner,566.5,100.0,9.0,42.0
Canadian Whiskey Sour,lunch,158.0,0.0,7.0,0.0
Malay Style Chicken And Sweet Potato Stew,dinner,600.9,58.0,15.0,53.0
Creamy Tater Tot Hotdish,dinner,706.1,52.0,17.0,68.0
Strawberry Brownie Dessert,dessert,472.1,12.0,19.0,39.0
Savoury Picnic Muffins,lunch,180.1,13.0,5.0,14.0
Corn And Chile Succotash,lunch,126.3,8.0,9.0,2.0
Smoked Salmon Tacos,breakfast,323.8,48.0,8.0,22.0
Arepas De Queso Fritas,breakfast,111.8,4.0,7.0,2.0
Curry Chicken From Scratch,dinner,563.6,47.0,10.0,58.0
Paula Deen S Taco Soup    Modified,dinner,254.3,38.0,9.0,12.0
Vietnamese Style Pepper Beef And Spinach,lunch,476.4,19.0,9.0,57.0
Prawn   Shrimp  And Avocado Bites,breakfast,19.6,2.0,0.0,2.0
Banana Bran Scones  Cooking Light,lunch,125.7,5.0,7.0,5.0
Midwest Best Chili,dinner,337.8,53.0,13.0,13.0
Light Mint Chocolate Chip Ice Cream,breakfast,456.9,19.0,28.0,17.0
Somerset Red Onion Marmalade  1,dinner,944.5,15.0,77.0,1.0
Ginger Jelly Yogurt,breakfast,69.2,14.0,3.0,0.0
Pollo Pendejo  Foolproof Chicken,dinner,318.9,54.0,2.0,27.0
Molded Lime Pineapple Salad,dessert,231.9,7.0,18.0,0.0
Cranberry Smoothie,lunch,182.6,0.0,15.0,0.0
Ruth S Chocolate Peanut Butter Cookies,snack,136.8,4.0,5.0,11.0
Blueberry And Lemon Ricotta Cheesecake  Gluten Free,breakfast,187.8,18.0,2.0,22.0
Insanely Delicious Spicy Grilled Shrimp,lunch,356.8,62.0,1.0,36.0
Easy Lasagna With Cottage Cheese,dinner,395.5,54.0,8.0,29.0
Frosted Cookies With Orange And White Chocolate,breakfast,167.6,3.0,7.0,12.0
Mocha Chip Bundt Cake,dessert,603.3,13.0,22.0,59.0
Biscuit Ham Bites,breakfast,179.2,18.0,3.0,17.0
Oatmeal Cookies No Flour,breakfast,141.7,4.0,7.0,8.0
Orange Nanaimo Bars,breakfast,200.5,4.0,6.0,21.0
Simple Orzo Salad,lunch,262.0,18.0,13.0,11.0
Bananas With Cocoa,lunch,206.4,5.0,14.0,7.0
Yummy Apple Mango Cobbler,lunch,458.9,8.0,27.0,20.0
Rosemary Marinated Tuna,dinner,161.4,0.0,0.0,27.0
Tsr Version Of Olive Garden Lemon Cream Cake By Todd Wilbur,dessert,527.0,9.0,21.0,43.0
California Wrapper,breakfast,1474.8,107.0,18.0,174.0
Quick Great Northern Bean Soup W  Kielbasa,lunch,575.2,57.0,14.0,49.0
Cassie S Cowboy Salsa,snack,230.4,19.0,11.0,11.0
Pumpkin Roll With Cream Cheese Filling,dessert,302.9,9.0,13.0,21.0
Tuna Salad With Olives  Orange And Bell Pepper,lunch,322.7,38.0,5.0,31.0
Char Siu Pork Cutlets With Chinese Coleslaw,lunch,140.3,6.0,4.0,10.0
Sweet Pumpkin Dip,snack,176.3,4.0,6.0,16.0
Hard Rock Cafe Twisted Mac   Cheese By Todd Wilbur,breakfast,298.1,29.0,9.0,20.0
Broccoli And Cheese Twice Baked Potatoes,breakfast,291.7,16.0,10.0,24.0
Flower Pot Dessert,dessert,1103.4,28.0,50.0,79.0
1950 S Meatloaf,dinner,512.6,68.0,18.0,24.0
Colombian Empanadas,snack,172.5,22.0,3.0,14.0
Favourite Red Cabbage,lunch,104.7,3.0,5.0,6.0
White Chocolate And Dried Cranberry Cookies,snack,115.6,3.0,4.0,10.0
Carnation Key Lime Pie,lunch,366.1,10.0,17.0,25.0
Parmesan And Mozzarella Cheese Ball Appetizers,dinner,59.4,4.0,1.0,4.0
Mrs  Garber S Zucchini Bread,dinner,525.0,12.0,24.0,36.0
Fish Cakes  With Variations,dinner,404.4,57.0,10.0,26.0
Papaya Lemonade,lunch,124.8,0.0,10.0,0.0
Golden Onion Bake,dinner,365.4,30.0,4.0,44.0
Old Fashioned Rice Custard,breakfast,391.4,23.0,22.0,14.0
Shrimp Or Lobster Gourmet Pizza,breakfast,677.5,72.0,22.0,44.0
Irish Cinnamon Latte,breakfast,32.3,0.0,2.0,0.0
Whipped Cauliflower Dijon,dinner,197.5,13.0,1.0,26.0
Bacon Stuffed Flank Steak,snack,513.0,86.0,1.0,53.0
Witch S Bubbly Brewed Punch   Halloween,lunch,320.8,4.0,20.0,11.0
Escargot Stuffed Mushroom Caps,snack,202.3,35.0,1.0,20.0
Lemon Marinade  Chicken,dinner,18.4,4.0,1.0,0.0
Authentic Mexican Rice,lunch,325.9,9.0,17.0,14.0
Greek Chicken And Rice,dinner,1068.7,137.0,29.0,71.0
Russ S Vegetable Melange,lunch,360.5,17.0,6.0,45.0
Carrot Ginger Dressing,lunch,617.9,5.0,5.0,94.0
Beurek With Parsley Cheese Filling,breakfast,420.3,35.0,9.0,40.0
Zucchini  Meatballs  Vegetarian Curry   Madhur Jaffrey,dinner,473.6,14.0,7.0,62.0
French Fry Dipping Sauce,lunch,186.6,1.0,4.0,22.0
Honey Dump Pork Chops  Oamc,dinner,379.4,81.0,7.0,19.0
Herb Toast,snack,107.5,3.0,4.0,8.0
Cinnamon Apricot Swirls,dessert,365.1,5.0,11.0,38.0
Egg Cheese,breakfast,177.4,22.0,2.0,16.0
Kielbasa Au Gratin Casserole,lunch,590.5,43.0,15.0,56.0
Heinz Classic Family Meatloaf,dinner,475.1,71.0,6.0,42.0
Spiced Mocha Chip Cookies,snack,149.8,3.0,6.0,10.0
Grilled Potato And Onion Packets,dinner,368.3,6.0,12.0,37.0
Berry Sundaes With White Chocolate Sauce,dessert,839.7,23.0,29.0,79.0
Cold Wasabi Ginger Sauce,lunch,272.8,19.0,2.0,35.0
Sour Cream   Philly Cheesecake,breakfast,888.8,27.0,23.0,97.0
Vegetable Ragout,dinner,345.6,19.0,15.0,11.0
Chicken In Creole Sauce,dinner,493.9,69.0,3.0,52.0
Lemon Or Lime Meringue Cookies,snack,23.3,1.0,1.0,0.0
Quick And Easy Artichoke Soup,lunch,116.2,11.0,4.0,5.0
Cornbread Low Sodium,lunch,123.4,5.0,5.0,8.0
Old Fashioned Apple Cider Pie,dessert,257.3,2.0,16.0,11.0
Smothered Lamb  Or Pork Or Beef,dinner,575.7,55.0,3.0,72.0
Amarula Cheesecake,breakfast,391.6,10.0,14.0,35.0
Deep South Mexican Cornbread,snack,275.9,17.0,5.0,31.0
Old Fashioned Baked Mac  N Cheese,breakfast,510.1,49.0,13.0,41.0
Macadamia Bars,snack,116.8,2.0,2.0,13.0
Lentils With Sweet Potatoes,dessert,86.3,7.0,5.0,0.0
Baked Austrian Rice Pudding   Reisauflauf,dessert,379.0,18.0,20.0,18.0
Chocolate Caramel Cashew Chewies,snack,255.1,7.0,11.0,19.0
Gooey Butter Cake,dessert,370.4,8.0,18.0,24.0
Sarasota S Simple Ale Biscuits,lunch,165.1,4.0,5.0,14.0
Quarterback Sneak Y Martini  Beer  N Tomato Juice Cocktail,lunch,93.7,3.0,3.0,0.0
Emeril S Carrot Souffle,dinner,691.8,16.0,30.0,54.0
Smokey Chipotle Tomato Soup,lunch,172.9,7.0,6.0,16.0
Buffet Potatoes,dinner,455.5,32.0,13.0,39.0
Teriyaki Chicken   Noodles  21 Day Wonder Diet  Day 20,lunch,552.2,74.0,31.0,3.0
Dewberry Pie,dessert,522.3,11.0,25.0,35.0
Butter Beer  Harry Potter,lunch,232.1,2.0,18.0,4.0
Honey Cardamom Glazed Carrots,dessert,94.3,1.0,3.0,9.0
Cranberry  Pear And Ginger Chutney,dinner,453.3,2.0,36.0,0.0
Tom S Kabobs,snack,1466.4,99.0,19.0,176.0
Margarita Sorbet,dessert,57.1,1.0,4.0,0.0
Cheddar Herb Beer Bread,dinner,1982.4,142.0,102.0,66.0
